"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","14-Jul-2020","       1080.25","       1062.60","       1068.90","       1050.00","       1061.45","       1058.85","       1057.27","   13306511","         14068551633.70","     296972","    5053772","         37.98"
"HDFCBANK","EQ","15-Jul-2020","       1058.85","       1070.20","       1079.00","       1050.10","       1054.75","       1053.15","       1066.96","   10487246","         11189519775.55","     177552","    2863921","         27.31"
"HDFCBANK","EQ","16-Jul-2020","       1053.15","       1053.65","       1065.50","       1034.10","       1059.15","       1062.55","       1048.11","   11831256","         12400487286.25","     204641","    3383165","         28.60"
"HDFCBANK","EQ","17-Jul-2020","       1062.55","       1059.05","       1104.00","       1058.30","       1103.35","       1098.45","       1080.41","   14202933","         15345022436.10","     217615","    5625701","         39.61"
"HDFCBANK","EQ","20-Jul-2020","       1098.45","       1135.00","       1152.90","       1124.15","       1130.00","       1133.05","       1138.35","   32562064","         37067090452.55","     505889","   11904108","         36.56"
"HDFCBANK","EQ","21-Jul-2020","       1133.05","       1152.05","       1157.95","       1134.00","       1139.90","       1138.55","       1142.37","   23757768","         27140071773.55","     281983","   14743934","         62.06"
"HDFCBANK","EQ","22-Jul-2020","       1138.55","       1138.50","       1144.50","       1117.55","       1128.00","       1126.35","       1124.94","   12359024","         13903126763.35","     189616","    5835878","         47.22"
"HDFCBANK","EQ","23-Jul-2020","       1126.35","       1125.00","       1143.90","       1116.25","       1129.80","       1130.40","       1133.04","   10074805","         11415185695.25","     179616","    3926642","         38.97"
"HDFCBANK","EQ","24-Jul-2020","       1130.40","       1122.90","       1122.90","       1101.25","       1120.00","       1119.10","       1112.21","    9799222","         10898804741.95","     166565","    2731880","         27.88"
"HDFCBANK","EQ","27-Jul-2020","       1119.10","       1099.85","       1103.00","       1075.35","       1079.95","       1079.50","       1084.25","   18985167","         20584576451.50","     312366","    9728035","         51.24"
"HDFCBANK","EQ","28-Jul-2020","       1079.50","       1079.00","       1094.40","       1059.50","       1084.70","       1086.65","       1080.90","   17798330","         19238296402.20","     311878","    8192969","         46.03"
"HDFCBANK","EQ","29-Jul-2020","       1086.65","       1081.00","       1088.50","       1055.55","       1065.00","       1064.60","       1072.25","   16796652","         18010253418.00","     303428","    8529553","         50.78"
"HDFCBANK","EQ","30-Jul-2020","       1064.60","       1074.00","       1083.65","       1046.70","       1050.45","       1050.65","       1064.47","   13478951","         14347987979.40","     251700","    5513933","         40.91"
"HDFCBANK","EQ","31-Jul-2020","       1050.65","       1057.70","       1057.70","       1020.05","       1033.25","       1032.80","       1031.43","   18865230","         19458084557.50","     325344","    8542845","         45.28"
"HDFCBANK","EQ","03-Aug-2020","       1032.80","       1025.95","       1026.95","        993.00","       1005.90","       1002.00","       1007.50","   15891781","         16011037011.45","     343632","    7578040","         47.69"
"HDFCBANK","EQ","04-Aug-2020","       1002.00","       1008.00","       1061.05","       1003.00","       1040.20","       1041.65","       1039.32","   30153418","         31339154328.15","     472527","    9249672","         30.68"
"HDFCBANK","EQ","05-Aug-2020","       1041.65","       1047.95","       1055.80","       1020.00","       1030.95","       1027.55","       1035.64","   16610696","         17202655726.05","     270414","    4369897","         26.31"
"HDFCBANK","EQ","06-Aug-2020","       1027.55","       1037.00","       1055.00","       1026.25","       1041.45","       1040.70","       1041.75","   16823558","         17525988624.40","     245766","    4443585","         26.41"
"HDFCBANK","EQ","07-Aug-2020","       1040.70","       1034.85","       1047.20","       1020.60","       1043.85","       1043.85","       1034.69","   12418816","         12849598351.00","     178249","    3386521","         27.27"
"HDFCBANK","EQ","10-Aug-2020","       1043.85","       1044.00","       1064.00","       1043.80","       1052.00","       1050.65","       1055.90","   11086465","         11706189103.00","     166247","    4678342","         42.20"
"HDFCBANK","EQ","11-Aug-2020","       1050.65","       1048.50","       1071.00","       1048.50","       1070.95","       1066.65","       1062.91","   10068150","         10701552832.20","     157609","    4013321","         39.86"
"HDFCBANK","EQ","12-Aug-2020","       1066.65","       1065.00","       1066.00","       1048.00","       1063.00","       1063.70","       1057.73","   10333222","         10929750519.45","     158659","    2929261","         28.35"
"HDFCBANK","EQ","13-Aug-2020","       1063.70","       1067.95","       1071.35","       1056.50","       1060.95","       1059.05","       1063.05","    9946370","         10573451442.80","     128692","    4863570","         48.90"
"HDFCBANK","EQ","14-Aug-2020","       1059.05","       1065.90","       1065.90","       1027.30","       1035.00","       1034.45","       1047.20","   10462350","         10956159018.35","     213350","    3850560","         36.80"
"HDFCBANK","EQ","17-Aug-2020","       1034.45","       1047.00","       1047.00","       1020.20","       1034.00","       1032.75","       1031.26","    9780591","         10086346720.35","     175355","    3980368","         40.70"
"HDFCBANK","EQ","18-Aug-2020","       1032.75","       1028.00","       1061.65","       1022.00","       1056.60","       1056.50","       1044.74","   12020562","         12558337618.40","     193067","    3570377","         29.70"
"HDFCBANK","EQ","19-Aug-2020","       1056.50","       1065.00","       1069.80","       1056.25","       1065.95","       1066.60","       1063.75","    8858056","          9422741414.60","     157562","    3705714","         41.83"
"HDFCBANK","EQ","20-Aug-2020","       1066.60","       1054.95","       1068.95","       1052.00","       1057.35","       1059.00","       1059.30","    9608591","         10178400071.80","     149244","    4173695","         43.44"
"HDFCBANK","EQ","21-Aug-2020","       1059.00","       1065.40","       1088.80","       1064.60","       1085.70","       1085.65","       1081.52","   14462237","         15641184568.60","     228261","    6064505","         41.93"
"HDFCBANK","EQ","24-Aug-2020","       1085.65","       1086.00","       1122.95","       1085.65","       1114.80","       1117.05","       1112.49","   18389929","         20458608459.75","     282003","    7781401","         42.31"
"HDFCBANK","EQ","25-Aug-2020","       1117.05","       1119.00","       1127.00","       1106.20","       1120.75","       1119.70","       1116.31","   13800972","         15406108014.20","     206191","    4584419","         33.22"
"HDFCBANK","EQ","26-Aug-2020","       1119.70","       1121.00","       1131.75","       1109.50","       1118.50","       1118.45","       1118.92","   12595131","         14092892254.10","     164529","    5444242","         43.22"
"HDFCBANK","EQ","27-Aug-2020","       1118.45","       1125.80","       1129.90","       1106.25","       1114.35","       1112.10","       1117.89","   10323015","         11540043391.20","     184107","    4676407","         45.30"
"HDFCBANK","EQ","28-Aug-2020","       1112.10","       1111.95","       1125.00","       1095.00","       1117.60","       1114.50","       1111.75","   19349069","         21511391001.70","     260599","    7038384","         36.38"
"HDFCBANK","EQ","31-Aug-2020","       1114.50","       1129.50","       1148.80","       1100.70","       1111.65","       1115.85","       1126.33","   19250721","         21682636226.80","     267840","    6487377","         33.70"
"HDFCBANK","EQ","01-Sep-2020","       1115.85","       1128.00","       1143.60","       1108.00","       1123.95","       1127.30","       1128.00","   14438949","         16287152244.45","     217329","    5250820","         36.37"
"HDFCBANK","EQ","02-Sep-2020","       1127.30","       1124.10","       1139.00","       1120.70","       1133.70","       1134.15","       1130.82","    9880855","         11173484461.95","     137409","    4567066","         46.22"
"HDFCBANK","EQ","03-Sep-2020","       1134.15","       1137.25","       1145.95","       1128.00","       1130.35","       1130.90","       1138.33","    9916701","         11288501148.90","     164687","    5260793","         53.05"
"HDFCBANK","EQ","04-Sep-2020","       1130.90","       1110.00","       1125.40","       1104.40","       1119.00","       1119.30","       1114.55","   11830686","         13185884649.25","     215475","    5210661","         44.04"
"HDFCBANK","EQ","07-Sep-2020","       1119.30","       1116.30","       1119.50","       1099.00","       1112.00","       1110.50","       1109.77","    8807764","          9774635499.85","     165759","    2718102","         30.86"
"HDFCBANK","EQ","08-Sep-2020","       1110.50","       1114.00","       1118.80","       1103.00","       1112.05","       1112.45","       1112.00","    7312460","          8131452200.70","     160085","    2466163","         33.73"
"HDFCBANK","EQ","09-Sep-2020","       1112.45","       1101.00","       1110.00","       1091.25","       1095.95","       1096.50","       1099.31","    7864545","          8645552641.80","     136765","    3232384","         41.10"
"HDFCBANK","EQ","10-Sep-2020","       1096.50","       1103.00","       1104.85","       1084.00","       1091.95","       1090.55","       1095.11","    7594209","          8316493920.50","     132365","    1804983","         23.77"
"HDFCBANK","EQ","11-Sep-2020","       1090.55","       1096.45","       1104.85","       1071.00","       1080.50","       1078.65","       1083.30","   10397545","         11263633320.80","     201271","    3835827","         36.89"
"HDFCBANK","EQ","14-Sep-2020","       1078.65","       1088.00","       1094.00","       1052.35","       1057.05","       1057.95","       1073.19","   10825874","         11618227245.70","     215379","    4580061","         42.31"
"HDFCBANK","EQ","15-Sep-2020","       1057.95","       1068.00","       1076.15","       1058.10","       1073.70","       1070.50","       1066.57","    8252566","          8801920567.75","     147079","    2743944","         33.25"
"HDFCBANK","EQ","16-Sep-2020","       1070.50","       1070.20","       1096.00","       1068.35","       1092.50","       1093.65","       1084.56","    9355126","         10146158177.20","     169907","    3577005","         38.24"
"HDFCBANK","EQ","17-Sep-2020","       1093.65","       1084.00","       1094.00","       1078.00","       1085.50","       1083.60","       1087.14","    9159413","          9957605566.05","     130623","    3060263","         33.41"
"HDFCBANK","EQ","18-Sep-2020","       1083.60","       1092.00","       1092.20","       1047.20","       1058.90","       1057.30","       1068.82","   11740889","         12548919022.40","     194150","    5051107","         43.02"
"HDFCBANK","EQ","21-Sep-2020","       1057.30","       1055.00","       1071.35","       1041.50","       1042.10","       1049.30","       1058.70","    9921439","         10503830354.45","     206109","    2978466","         30.02"
"HDFCBANK","EQ","22-Sep-2020","       1049.30","       1054.05","       1058.15","       1029.50","       1038.00","       1035.40","       1042.49","    9310339","          9705907839.55","     218683","    3226259","         34.65"
"HDFCBANK","EQ","23-Sep-2020","       1035.40","       1046.00","       1055.00","       1034.35","       1048.95","       1047.25","       1046.38","    8039935","          8412863750.95","     181416","    2446333","         30.43"
